Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate
João Gustavo e Murilo,5,189.0,181,2019-06-29,2019-08-17,49,0.0,0.0
Juan Magán,260,114.95,58,2017-12-15,2018-07-05,202,0.0,0.0
Juanes,1,127.0,127,2022-09-02,2022-09-02,0,0.0,0.0
Juanfran,38,189.23684210526315,176,2020-07-02,2020-08-18,47,0.0,0.0
Juanka,261,71.06896551724138,12,2020-05-16,2021-01-31,260,128.0,0.4904214559386973
Jubin utiyal,61,121.8688524590164,60,2021-08-16,2022-10-04,414,0.0,0.0
Judy Garland,15,116.86666666666666,60,2017-12-23,2022-12-25,1828,0.0,0.0
Juhn,535,82.68411214953271,5,2019-11-13,2022-03-12,850,214.0,0.4
Juice WRLD,5514,102.55223068552775,2,2018-05-12,2023-03-24,1777,990.0,0.1795429815016322
Juicy J,36,158.5,90,2017-05-05,2022-11-01,2006,0.0,0.0
Juju,53,123.30188679245283,59,2019-05-03,2021-08-20,840,0.0,0.0
Jul,70,129.05714285714285,85,2020-01-17,2020-10-25,282,0.0,0.0
Julia Michaels,597,101.81574539363484,9,2017-01-17,2021-07-13,1638,172.0,0.288107202680067
Juliander,1,81.0,81,2018-01-30,2018-01-30,0,0.0,0.0
Juliano Maderada,1,65.0,65,2022-10-30,2022-10-30,0,0.0,0.0
Julieta Venegas,287,68.27177700348432,21,2021-12-21,2022-10-08,291,132.0,0.45993031358885017
Juliette,6,151.83333333333334,94,2021-09-03,2021-09-03,0,0.0,0.0
Jung Kook,417,80.79616306954436,2,2022-02-11,2023-05-29,472,156.0,0.37410071942446044
Jungleboi,1,111.0,111,2019-11-15,2019-11-15,0,0.0,0.0
Junior H,429,102.26107226107226,11,2022-05-06,2023-05-29,388,89.0,0.20745920745920746
Juseph,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
Justin Bieber,5470,77.12212065813529,1,2017-01-01,2023-05-29,2339,2338.0,0.42742230347349175
Justin Hurwitz,2,195.5,195,2017-01-30,2017-02-27,28,0.0,0.0
Justin Jesso,209,74.97129186602871,15,2017-09-22,2018-04-19,209,97.0,0.46411483253588515
Justin Mylo,7,151.28571428571428,78,2018-09-14,2018-09-20,6,0.0,0.0
Justin Quiles,1977,117.4117349519474,31,2018-07-07,2023-02-25,1694,70.0,0.035407182599898834
Justin Timberlake,589,106.6383701188455,13,2017-01-01,2022-09-10,2078,122.0,0.2071307300509338
Justin Wellington,91,103.48351648351648,62,2021-06-02,2021-09-04,94,0.0,0.0
K CAMP,5,168.4,146,2020-02-22,2020-03-01,8,0.0,0.0
K$upreme,1,157.0,157,2018-03-09,2018-03-09,0,0.0,0.0
K/DA,60,119.43333333333334,50,2018-11-04,2020-11-19,746,1.0,0.016666666666666666
KAI,5,184.0,163,2023-03-24,2023-03-29,5,0.0,0.0
KALEO,21,186.28571428571428,160,2017-02-06,2017-04-19,72,0.0,0.0
KALIM,1,129.0,129,2020-05-29,2020-05-29,0,0.0,0.0
KALUSH,6,100.83333333333333,38,2022-05-15,2022-05-20,5,1.0,0.16666666666666666
KAROL G,4249,82.35820192986586,1,2017-08-08,2023-05-29,2120,1514.0,0.3563191339138621
KASIMIR1441,23,126.8695652173913,67,2021-01-15,2021-02-06,22,0.0,0.0
KC Rebell,57,152.2982456140351,58,2019-02-15,2020-08-07,539,0.0,0.0
KEVVO,64,172.546875,139,2020-04-30,2020-07-19,80,0.0,0.0
KEiiNO,2,162.5,139,2019-05-19,2019-05-20,1,0.0,0.0
KHEA,399,93.11278195488721,15,2018-03-18,2021-04-13,1122,115.0,0.2882205513784461
KIDS SEE GHOSTS,75,74.0,16,2018-06-08,2018-06-28,20,29.0,0.38666666666666666
KREAM,40,158.8,127,2017-01-01,2017-02-09,39,0.0,0.0
KSI,70,145.64285714285714,57,2019-11-11,2021-08-12,640,0.0,0.0
KYLE,477,86.34381551362684,18,2017-01-01,2019-05-14,863,174.0,0.36477987421383645
Kaash Paige,1,114.0,114,2020-03-13,2020-03-13,0,0.0,0.0
Kacey Musgraves,6,162.5,149,2019-12-24,2021-09-10,626,0.0,0.0
Kadu Martins,1,99.0,99,2023-01-01,2023-01-01,0,0.0,0.0
Kaifi Khalil,46,120.91304347826087,68,2023-02-04,2023-03-21,45,0.0,0.0
Kalazh44,9,130.44444444444446,78,2019-06-14,2019-06-24,10,0.0,0.0
Kali,20,110.55,91,2023-05-10,2023-05-29,19,0.0,0.0
Kali Uchis,514,83.31517509727627,2,2021-02-16,2023-05-29,832,204.0,0.3968871595330739
Kalush Orchestra,6,100.83333333333333,38,2022-05-15,2022-05-20,5,1.0,0.16666666666666666
Kamferdrops,2,194.5,194,2017-06-23,2017-07-01,8,0.0,0.0
Kane Brown,334,111.83532934131736,26,2017-10-05,2021-07-13,1377,51.0,0.15269461077844312
Kanii,10,142.3,117,2023-04-08,2023-04-17,9,0.0,0.0
Kanye West,1373,91.19227967953387,1,2017-01-01,2023-02-17,2238,447.0,0.325564457392571
Kash Doll,4,187.75,177,2017-12-08,2017-12-12,4,0.0,0.0
Kate Bush,240,59.21666666666667,1,2022-05-28,2023-01-27,244,145.0,0.6041666666666666
Katy Perry,859,98.30034924330617,6,2017-02-10,2022-12-25,2144,204.0,0.23748544819557627
Kawe,25,174.28,148,2021-01-21,2021-08-28,219,0.0,0.0
Kay Starr,5,166.2,141,2017-12-25,2022-12-25,1826,0.0,0.0
KayBlack,12,114.08333333333333,79,2023-04-14,2023-05-29,45,0.0,0.0
Ke Personajes,51,113.03921568627452,64,2023-04-09,2023-05-29,50,0.0,0.0
Keala Settle,342,121.73684210526316,26,2017-12-29,2019-01-07,374,58.0,0.1695906432748538
Keane,203,160.6847290640394,114,2022-09-05,2023-05-29,266,0.0,0.0
Kehlani,121,99.06611570247934,24,2019-01-11,2022-04-05,1180,20.0,0.1652892561983471
Keisya Levronka,7,193.85714285714286,190,2022-06-12,2022-06-27,15,0.0,0.0
Keith Urban,1,150.0,150,2020-09-18,2020-09-18,0,0.0,0.0
Keke Palmer,9,139.33333333333334,89,2019-11-11,2019-11-19,8,0.0,0.0
Kelly Clarkson,210,73.76190476190476,8,2017-09-08,2022-12-26,1935,96.0,0.45714285714285713
Kelly Ruíz,86,139.06976744186048,91,2019-07-14,2020-01-01,171,0.0,0.0
Kelsea Ballerini,147,149.29931972789115,103,2018-12-18,2019-05-30,163,0.0,0.0
Ken Darby Singers,180,84.83888888888889,10,2017-11-26,2022-12-26,1856,34.0,0.18888888888888888
Kendo Kaponi,81,126.18518518518519,54,2020-02-29,2020-11-21,266,0.0,0.0
Kendrick Lamar,3185,100.03673469387755,1,2017-01-01,2023-05-29,2339,862.0,0.2706436420722135
Kenia OS,44,144.6818181818182,97,2023-03-04,2023-04-19,46,0.0,0.0
Kenny G,12,76.83333333333333,14,2019-10-25,2019-11-05,11,6.0,0.5
Kenny Man,2,197.0,196,2019-03-02,2019-03-16,14,0.0,0.0
Kenny Mason,1,119.0,119,2022-04-01,2022-04-01,0,0.0,0.0
Kenny Rogers,3,125.66666666666667,84,2020-03-21,2020-03-22,1,0.0,0.0
Kenshi Yonezu,81,128.77777777777777,47,2022-10-12,2023-01-19,99,1.0,0.012345679012345678
Kep1er,24,171.75,146,2022-01-16,2022-02-13,28,0.0,0.0
Kesha,150,107.08,37,2017-07-06,2019-10-25,841,15.0,0.1
Kevin Gates,17,146.35294117647058,105,2021-04-28,2022-03-25,331,0.0,0.0
Kevin Kaarl,33,174.03030303030303,117,2022-04-25,2022-06-07,43,0.0,0.0
Kevin Roldan,193,144.03626943005182,82,2018-10-11,2021-04-11,913,0.0,0.0
Khalid,5116,90.85594214229867,3,2017-02-01,2023-05-29,2308,1488.0,0.290852228303362
Kid Cudi,304,87.97697368421052,1,2020-04-14,2022-12-31,991,99.0,0.3256578947368421
Kid Ink,55,175.05454545454546,123,2017-02-10,2017-04-13,62,0.0,0.0
Kid Trunks,1,130.0,130,2019-01-23,2019-01-23,0,0.0,0.0
Kierra Sheard,1,176.0,176,2019-07-27,2019-07-27,0,0.0,0.0
Kiiara,56,130.32142857142858,88,2017-01-01,2017-06-20,170,0.0,0.0
Killer Mike,6,143.83333333333334,91,2017-05-05,2020-06-02,1124,0.0,0.0
Killstation,1,142.0,142,2018-06-19,2018-06-19,0,0.0,0.0
Kim Loaiza,1,123.0,123,2020-08-21,2020-08-21,0,0.0,0.0
Kim Petras,259,16.33976833976834,1,2020-05-29,2023-05-29,1095,245.0,0.9459459459459459
Kim Sawol,1,82.0,82,2022-12-02,2022-12-02,0,0.0,0.0
Kimbra,145,163.30344827586208,122,2021-02-18,2022-03-16,391,0.0,0.0
Kin$oul,3,154.0,130,2018-06-19,2019-01-23,218,0.0,0.0
Kina,603,158.96517412935324,90,2019-04-28,2021-01-03,616,0.0,0.0
King,117,83.63247863247864,25,2022-11-19,2023-03-26,127,20.0,0.17094017094017094
King Khalil,1,153.0,153,2018-06-22,2018-06-22,0,0.0,0.0
King Princess,110,103.64545454545454,54,2018-03-13,2018-07-03,112,0.0,0.0
King Von,8,149.875,107,2020-11-07,2022-02-09,459,0.0,0.0
Kirsty MacColl,20,109.4,35,2021-12-21,2022-12-25,369,5.0,0.25
KitschKrieg,35,180.77142857142857,163,2018-10-22,2020-09-11,690,0.0,0.0
Kitty Kat,1,153.0,153,2021-10-29,2021-10-29,0,0.0,0.0
Kodak Black,1400,100.09428571428572,3,2017-01-31,2023-05-29,2309,332.0,0.23714285714285716
Kodie Shane,1,127.0,127,2018-11-09,2018-11-09,0,0.0,0.0
Koffee,1,146.0,146,2023-01-13,2023-01-13,0,0.0,0.0
Kofs,69,128.40579710144928,85,2020-08-18,2020-10-25,68,0.0,0.0
Kollegah,1,169.0,169,2017-09-29,2017-09-29,0,0.0,0.0
Kontra K,12,155.08333333333334,88,2019-05-17,2020-08-31,472,0.0,0.0
Kordhell,244,121.47131147540983,71,2022-08-08,2023-04-12,247,0.0,0.0
Kotim,29,171.31034482758622,125,2022-08-26,2022-11-19,85,0.0,0.0
Kris Kross Amsterdam,140,119.63571428571429,42,2017-01-01,2018-12-31,729,17.0,0.12142857142857143
KronoMuzik,1,188.0,188,2021-11-17,2021-11-17,0,0.0,0.0
Kumaar,35,162.0,97,2022-12-26,2023-02-12,48,0.0,0.0
Kungs,197,163.87817258883248,88,2017-01-01,2021-12-31,1825,0.0,0.0
Kygo,2310,97.72554112554113,2,2017-01-01,2022-09-09,2077,704.0,0.3047619047619048
Kyla,990,134.5151515151515,5,2017-01-01,2023-05-29,2339,62.0,0.06262626262626263
Kylie Minogue,74,123.25675675675676,26,2017-12-10,2022-12-25,1841,7.0,0.0945945945945946
Käärijä,18,68.05555555555556,7,2023-05-12,2023-05-29,17,8.0,0.4444444444444444
L-Gante,128,146.2890625,82,2021-03-12,2022-01-30,324,0.0,0.0
L.V.,499,160.7815631262525,11,2021-08-30,2023-05-27,635,5.0,0.01002004008016032
L7NNON,47,162.27659574468086,96,2022-04-16,2022-09-10,147,0.0,0.0
LANY,184,119.92934782608695,24,2017-07-10,2020-03-09,973,14.0,0.07608695652173914
LE SSERAFIM,199,115.93969849246231,48,2022-05-03,2023-05-29,391,2.0,0.010050251256281407
LEA,47,98.40425531914893,34,2019-09-20,2019-11-08,49,8.0,0.1702127659574468
LF SYSTEM,79,160.39240506329114,108,2022-07-02,2022-10-08,98,0.0,0.0
LISA,317,66.87066246056783,5,2021-09-10,2023-05-10,607,158.0,0.49842271293375395
LIT Killah,19,84.3157894736842,39,2021-07-10,2021-07-29,19,3.0,0.15789473684210525
LIT killah,180,93.33888888888889,31,2021-08-01,2022-03-05,216,33.0,0.18333333333333332
LSD,329,114.09422492401215,30,2018-05-04,2019-04-25,356,39.0,0.11854103343465046
LUDMILLA,3,190.33333333333334,173,2018-06-23,2021-01-01,923,0.0,0.0
LUM!X,116,150.68103448275863,77,2021-10-01,2022-03-26,176,0.0,0.0
LX,7,173.42857142857142,143,2017-07-18,2021-05-21,1403,0.0,0.0
La Adictiva,46,170.7173913043478,127,2022-06-19,2023-01-01,196,0.0,0.0
La Húngara,86,132.12790697674419,31,2020-11-06,2021-03-06,120,6.0,0.06976744186046512
La Joaqui,23,180.0,135,2023-01-21,2023-04-22,91,0.0,0.0
La Kelly,79,82.39240506329114,10,2023-03-05,2023-05-27,83,27.0,0.34177215189873417
La La Land Cast,20,173.35,130,2017-01-16,2017-03-01,44,0.0,0.0
La Maquiria Norteña,2,196.0,193,2023-01-21,2023-01-22,1,0.0,0.0
La Mosca Tse-Tse,2,106.5,35,2022-12-18,2022-12-19,1,1.0,0.5
La Pantera,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
La rappresentante di lista,7,130.57142857142858,109,2022-02-02,2022-02-08,6,0.0,0.0
Labrinth,926,108.93844492440604,13,2017-01-01,2023-05-25,2335,85.0,0.091792656587473
Lady Gaga,2611,95.39946380697052,1,2017-01-02,2023-03-19,2267,679.0,0.26005361930294907
Lali,1,198.0,198,2018-02-24,2018-02-24,0,0.0,0.0
Lalo Ebratt,175,101.91428571428571,55,2019-09-06,2020-02-28,175,0.0,0.0
Lana Del Rey,945,136.66349206349207,3,2017-02-19,2023-05-29,2290,60.0,0.06349206349206349
Landon Barker,1,192.0,192,2022-03-25,2022-03-25,0,0.0,0.0
Larry Walsh,26,113.23076923076923,43,2017-12-22,2020-12-25,1099,4.0,0.15384615384615385
Lary Over,159,113.11320754716981,72,2018-04-18,2018-10-07,172,0.0,0.0
Lasso,100,113.13,67,2022-06-29,2022-10-08,101,0.0,0.0
Lauren Daigle,2,193.5,193,2018-10-03,2018-10-04,1,0.0,0.0
Lauren Jauregui,22,144.27272727272728,80,2017-05-26,2019-01-11,595,0.0,0.0
Lauren Spencer Smith,150,83.65333333333334,10,2022-01-05,2022-05-19,134,37.0,0.24666666666666667
Lauv,2066,114.44143272023233,17,2017-01-14,2020-10-29,1384,352.0,0.17037754114230397
Lazza,30,109.7,29,2019-07-05,2023-02-25,1331,6.0,0.2
Leah Kate,44,150.52272727272728,98,2022-04-26,2022-06-09,44,0.0,0.0
Lean Trap,21,178.14285714285714,115,2018-01-15,2018-01-28,13,0.0,0.0
LeeHi,13,188.84615384615384,175,2021-09-28,2021-11-08,41,0.0,0.0
Lele Pons,275,104.39272727272727,23,2018-08-18,2021-03-09,934,54.0,0.19636363636363635
Lennon Stella,141,176.12765957446808,133,2018-10-05,2020-05-15,588,0.0,0.0
Lenny Tavárez,2136,108.08661048689139,15,2018-04-29,2022-06-04,1497,227.0,0.10627340823970037
Leo Lewis,43,138.65116279069767,51,2017-12-23,2022-12-25,1828,0.0,0.0
Leo Santana,37,75.0,11,2023-02-02,2023-03-25,51,18.0,0.4864864864864865
Leon Bridges,1,123.0,123,2020-04-10,2020-04-10,0,0.0,0.0
Leona Lewis,6,101.66666666666667,47,2021-12-21,2021-12-26,5,1.0,0.16666666666666666
Leslie Grace,113,165.7433628318584,116,2018-02-24,2018-09-08,196,0.0,0.0
Lewis Capaldi,2985,79.97654941373534,4,2019-01-07,2023-05-29,1603,1126.0,0.3772194304857621
Lexa,31,161.09677419354838,97,2019-11-02,2020-02-22,112,0.0,0.0
Lexie Liu,23,103.26086956521739,50,2020-10-28,2020-11-19,22,1.0,0.043478260869565216
LiL CaKe,122,87.0,36,2023-01-28,2023-05-29,121,17.0,0.13934426229508196
Liam Payne,677,87.10192023633678,8,2017-05-19,2022-12-24,2045,192.0,0.28360413589364847
Libianca,139,60.62589928057554,35,2023-01-11,2023-05-29,138,40.0,0.28776978417266186
Like Mike,121,118.94214876033058,75,2019-07-05,2019-11-06,124,0.0,0.0
Likybo,3,189.66666666666666,179,2020-01-12,2020-01-14,2,0.0,0.0
Lil Baby,1403,105.79686386315039,4,2018-05-15,2023-05-05,1816,288.0,0.2052744119743407
Lil Dicky,234,73.67094017094017,7,2018-03-16,2019-06-09,450,112.0,0.47863247863247865
Lil Duke,4,138.25,86,2019-08-09,2021-04-16,616,0.0,0.0
Lil Durk,86,108.24418604651163,14,2019-07-27,2023-05-29,1402,19.0,0.22093023255813954
Lil Jon,1,164.0,164,2022-03-25,2022-03-25,0,0.0,0.0
Lil Kleine,18,149.05555555555554,106,2017-05-29,2018-09-24,483,0.0,0.0
Lil Mabu,17,104.29411764705883,50,2023-05-11,2023-05-27,16,1.0,0.058823529411764705
Lil Mosey,763,86.24770642201835,8,2018-09-01,2021-06-21,1024,254.0,0.3328964613368283
Lil Nas X,3016,63.388925729442974,1,2019-03-06,2023-03-02,1457,1604.0,0.5318302387267905
Lil Peep,432,131.88425925925927,2,2017-11-16,2022-03-09,1574,74.0,0.1712962962962963
Lil Pump,624,89.88141025641026,3,2017-09-09,2019-04-22,590,213.0,0.34134615384615385
Lil Skies,298,144.04026845637583,56,2018-01-05,2019-05-16,496,0.0,0.0
Lil Tecca,784,101.87372448979592,3,2019-06-03,2021-09-01,821,170.0,0.21683673469387754
Lil Tjay,445,101.45168539325843,3,2019-08-28,2022-09-07,1106,111.0,0.24943820224719102
Lil Uzi Vert,2540,103.95944881889764,6,2017-01-01,2023-05-29,2339,602.0,0.23700787401574802
Lil Wayne,521,109.09213051823417,1,2017-01-01,2023-03-17,2266,113.0,0.21689059500959693
Lil Xan,206,108.18446601941747,52,2017-11-04,2018-07-02,240,0.0,0.0
Lil Yachty,155,129.44516129032257,23,2017-04-15,2023-01-27,2113,11.0,0.07096774193548387
Lil Zey,1,166.0,166,2021-05-07,2021-05-07,0,0.0,0.0
Linkin Park,441,149.73696145124717,7,2017-02-17,2023-05-24,2287,25.0,0.05668934240362812
Lit Killah,37,116.29729729729729,42,2021-03-05,2021-07-31,148,3.0,0.08108108108108109
Little Mix,592,110.61486486486487,21,2017-01-01,2021-07-29,1670,50.0,0.08445945945945946
Little Nell,1,188.0,188,2021-10-31,2021-10-31,0,0.0,0.0
Liz Gillies,49,134.42857142857142,40,2018-12-01,2022-12-25,1485,3.0,0.061224489795918366
Lizzo,1076,86.07342007434944,7,2019-04-23,2023-03-09,1416,449.0,0.41728624535315983
Lizzy McAlpine,105,79.26666666666667,28,2023-02-14,2023-05-29,104,36.0,0.34285714285714286
Logic,1071,96.19047619047619,2,2017-03-31,2021-07-02,1554,294.0,0.27450980392156865
Lola Indigo,16,156.6875,121,2023-04-14,2023-04-28,14,0.0,0.0
London Grammar,2,164.0,150,2017-01-06,2019-06-14,889,0.0,0.0
London On Da Track,28,109.5,46,2020-02-14,2020-03-12,27,2.0,0.07142857142857142
LonelyEve,2,136.5,132,2023-01-12,2023-01-13,1,0.0,0.0
Loote,30,168.83333333333334,96,2019-02-08,2019-03-15,35,0.0,0.0
Lord Huron,314,161.95222929936307,51,2017-04-10,2023-05-29,2240,0.0,0.0
Lorde,395,100.63544303797468,8,2017-03-02,2021-08-26,1638,58.0,0.1468354430379747
Loreda,109,140.11926605504587,35,2018-09-14,2021-05-28,987,1.0,0.009174311926605505
Loreen,21,40.666666666666664,5,2023-03-12,2023-05-29,78,17.0,0.8095238095238095
Loren Allred,75,134.42666666666668,78,2018-01-02,2018-04-04,92,0.0,0.0
Los Legendarios,523,81.151051625239,7,2020-10-05,2021-10-02,362,162.0,0.30975143403441685
Los Ángeles Azules,1,200.0,200,2020-01-01,2020-01-01,0,0.0,0.0
Lost Frequencies,486,69.97119341563786,17,2021-08-26,2023-01-27,519,277.0,0.5699588477366255
Lou Monte,1,177.0,177,2017-12-25,2017-12-25,0,0.0,0.0
Louane,7,128.42857142857142,72,2017-04-07,2017-04-13,6,0.0,0.0
Loud Luxury,470,100.3468085106383,18,2018-05-24,2019-12-31,586,90.0,0.19148936170212766
Louis Armstrong,4,153.75,131,2020-12-24,2022-12-25,731,0.0,0.0
Louis Prima,11,70.18181818181819,34,2018-06-08,2018-06-18,10,5.0,0.45454545454545453
Louis The Child,50,158.26,116,2018-06-11,2018-07-30,49,0.0,0.0
Louis Theroux,2,195.0,194,2022-06-18,2022-06-19,1,0.0,0.0
Louis Tomlinson,378,86.11904761904762,14,2017-01-01,2022-10-14,2112,165.0,0.4365079365079365
Lous and The Yakuza,1,95.0,95,2020-09-18,2020-09-18,0,0.0,0.0
Lovejoy,3,122.66666666666667,106,2021-05-11,2021-05-13,2,0.0,0.0
Luan Pereira,11,158.45454545454547,67,2022-12-25,2023-02-18,55,0.0,0.0
Luan Santana,122,149.9672131147541,70,2019-08-24,2022-09-10,1113,0.0,0.0
Luar La L,112,79.79464285714286,29,2021-05-28,2022-11-29,550,43.0,0.38392857142857145
Luca Hänni,2,143.5,125,2019-05-19,2019-05-20,1,0.0,0.0
Lucenzo,30,159.23333333333332,99,2017-12-31,2023-05-29,1975,0.0,0.0
Luche,3,158.33333333333334,109,2019-01-18,2019-10-31,286,0.0,0.0
Luciano,127,128.4724409448819,47,2018-10-29,2023-04-07,1621,4.0,0.031496062992125984
Lucky Daye,3,179.33333333333334,161,2022-03-28,2022-03-30,2,0.0,0.0
Lucy Rose,2,157.0,133,2017-05-05,2017-05-06,1,0.0,0.0
Ludacris,1,132.0,132,2020-06-02,2020-06-02,0,0.0,0.0
Ludwig Göransson,11,127.27272727272727,102,2022-11-14,2022-11-24,10,0.0,0.0
Luis Figueroa,159,113.11320754716981,72,2018-04-18,2018-10-07,172,0.0,0.0
Luis Fonsi,1406,74.9900426742532,1,2017-01-14,2020-01-01,1082,591.0,0.42034139402560455
Luis Miguel,4,173.0,168,2018-05-15,2022-12-25,1685,0.0,0.0
Luis R Conriquez,167,152.24550898203591,80,2022-06-19,2023-05-20,335,0.0,0.0
Lukas Graham,400,118.0925,50,2017-01-01,2020-08-21,1328,3.0,0.0075
Luke Christopher,84,104.76190476190476,57,2017-01-01,2017-03-29,87,0.0,0.0
Luke Combs,105,141.73333333333332,15,2019-05-09,2023-05-29,1481,7.0,0.06666666666666667
Lunay,4,196.0,187,2021-12-28,2021-12-31,3,0.0,0.0
Luude,88,117.61363636363636,66,2022-01-14,2022-04-23,99,0.0,0.0
Luy,669,104.03587443946188,7,2019-03-09,2022-03-12,1099,164.0,0.24514200298953662
Luísa Sonza,150,139.20666666666668,35,2019-11-22,2022-09-10,1023,3.0,0.02
Lyanno,393,109.73027989821882,37,2020-04-30,2023-04-11,1076,58.0,0.1475826972010178
Lynyrd Skynyrd,5,156.8,139,2017-07-04,2021-07-04,1461,0.0,0.0
M.I.A.,1,192.0,192,2017-01-01,2017-01-01,0,0.0,0.0
MACHETE,35,147.97142857142856,75,2019-07-05,2019-07-22,17,0.0,0.0
MARINA,43,168.51162790697674,137,2021-04-04,2021-05-20,46,0.0,0.0
MAX,123,167.3739837398374,73,2017-02-26,2020-11-20,1363,0.0,0.0
MC Bruninho,11,176.9090909090909,125,2018-06-09,2021-01-09,945,0.0,0.0
MC Caverinha,11,106.27272727272727,79,2023-05-19,2023-05-29,10,0.0,0.0
MC Du Black,13,176.0,139,2019-09-28,2019-11-09,42,0.0,0.0
MC Eiht,2,197.5,195,2017-04-14,2017-04-15,1,0.0,0.0
MC Fioti,148,92.3108108108108,58,2017-12-15,2018-05-12,148,0.0,0.0
MC G15,25,143.08,75,2017-01-01,2022-06-11,1987,0.0,0.0
MC GP,39,153.89743589743588,88,2021-12-30,2022-02-27,59,0.0,0.0
MC Gury,20,168.0,109,2018-11-23,2019-01-19,57,0.0,0.0
MC Ingryd,2,176.5,161,2020-02-22,2020-02-23,1,0.0,0.0
MC Jacaré,7,180.71428571428572,151,2020-09-06,2022-08-13,706,0.0,0.0
MC JottaPê,1,183.0,183,2019-09-14,2019-09-14,0,0.0,0.0
MC K.K,11,177.1818181818182,143,2022-12-30,2023-01-22,23,0.0,0.0
MC Kekel,16,187.6875,172,2018-04-14,2018-11-03,203,0.0,0.0
MC Kevin o Chris,76,156.4078947368421,83,2019-01-01,2021-06-26,907,0.0,0.0
MC Kevinho,81,177.77777777777777,66,2017-02-25,2019-03-03,736,0.0,0.0
MC L da Vinte,20,168.0,109,2018-11-23,2019-01-19,57,0.0,0.0
MC Lan,3,179.66666666666666,158,2020-02-21,2020-02-23,2,0.0,0.0
MC Levin,23,151.34782608695653,61,2021-11-06,2022-01-02,57,0.0,0.0
MC Lipivox,11,177.1818181818182,143,2022-12-30,2023-01-22,23,0.0,0.0
MC Loma e As Gêmeas Lacração,5,174.0,159,2018-02-10,2018-02-18,8,0.0,0.0
MC M10,1,183.0,183,2019-09-14,2019-09-14,0,0.0,0.0
MC MENOR HR,73,111.08219178082192,50,2022-11-11,2023-01-29,79,1.0,0.0136986301369863
MC MENOR SG,73,111.08219178082192,50,2022-11-11,2023-01-29,79,1.0,0.0136986301369863
MC MM,9,164.66666666666666,135,2018-04-28,2018-05-13,15,0.0,0.0
MC Mari,23,141.43478260869566,72,2022-06-23,2022-08-06,44,0.0,0.0
MC Menor MT,14,169.78571428571428,117,2023-01-14,2023-02-18,35,0.0,0.0
MC Rick,30,157.43333333333334,100,2021-06-19,2021-08-22,64,0.0,0.0
MC Rita,5,191.2,181,2018-04-14,2018-06-23,70,0.0,0.0
MC Rogerinho,24,155.91666666666666,64,2020-09-26,2022-06-04,616,0.0,0.0
MC Ryan SP,58,167.1206896551724,65,2022-08-26,2023-01-08,135,0.0,0.0
MC Tairon,25,164.64,106,2022-06-30,2022-07-30,30,0.0,0.0
MC Teteu,1,186.0,186,2022-02-26,2022-02-26,0,0.0,0.0
MC WM,1,190.0,190,2018-04-28,2018-04-28,0,0.0,0.0
MC Xenon,17,165.41176470588235,121,2023-02-18,2023-04-01,42,0.0,0.0
MC Zaquin,30,157.43333333333334,100,2021-06-19,2021-08-22,64,0.0,0.0
MC's Jhowzinho & Kadinho,9,181.88888888888889,147,2017-11-25,2018-02-11,78,0.0,0.0
MEDUZA,1125,88.96266666666666,13,2019-04-15,2023-01-25,1381,381.0,0.33866666666666667
MERO,132,127.03030303030303,35,2018-11-24,2023-01-24,1522,4.0,0.030303030303030304
MIMI,1,185.0,185,2017-05-26,2017-05-26,0,0.0,0.0
MKTO,40,143.675,124,2021-10-03,2021-11-11,39,0.0,0.0
MNEK,118,137.74576271186442,83,2017-03-17,2022-08-13,1975,0.0,0.0
MORTEN,1,177.0,177,2019-11-22,2019-11-22,0,0.0,0.0
MYA,47,120.17021276595744,76,2021-06-23,2021-08-14,52,0.0,0.0
Mabel,503,89.12326043737575,9,2019-02-01,2021-01-07,706,126.0,0.2504970178926441
Mabel Matiz,37,134.1891891891892,81,2022-12-04,2023-01-16,43,0.0,0.0
Mac DeMarco,78,162.42307692307693,89,2023-01-09,2023-04-17,98,0.0,0.0
Mac Miller,215,105.11627906976744,9,2018-08-03,2022-07-28,1455,48.0,0.22325581395348837
Machine Gun Kelly,829,118.75392038600724,16,2017-01-01,2022-06-10,1986,78.0,0.09408926417370325
Macklemore,796,129.69221105527637,13,2017-06-16,2023-05-29,2173,126.0,0.15829145728643215
Macklemore & Ryan Lewis,461,170.94360086767895,57,2017-01-01,2023-05-29,2339,0.0,0.0
MadMan,7,109.57142857142857,31,2019-06-07,2019-09-20,105,1.0,0.14285714285714285
Madame,10,133.6,90,2021-03-07,2023-02-14,709,0.0,0.0
MadeinTYO,35,153.9142857142857,45,2019-07-26,2019-11-21,118,1.0,0.02857142857142857
Madison Beer,297,132.82491582491582,50,2018-03-28,2021-09-29,1281,1.0,0.003367003367003367
Madon,2,134.0,107,2019-04-19,2019-06-14,56,0.0,0.0
Mae Muller,259,123.81853281853282,65,2021-12-21,2022-05-05,135,0.0,0.0
Mae Stephens,57,168.94736842105263,120,2023-02-16,2023-05-02,75,0.0,0.0
Maejor,80,102.325,18,2017-12-18,2018-03-25,97,15.0,0.1875
Maes,6,162.33333333333334,125,2020-01-17,2021-03-05,413,0.0,0.0
